country;year;purchases_1_or_2_times;purchases_3_to_5_times;purchases_6_to_10_times;purchases_more_than_10_times
Turkey;2017;;;;
Turkey;2018;;;;
Turkey;2019;11;7;3;2
Turkey;2020;;;;
Turkey;2021;12;10;4;6
United Kingdom;2015;16;20;17;22
United Kingdom;2016;15;21;17;24
United Kingdom;2017;17;23;16;21
United Kingdom;2018;15;18;17;26
United Kingdom;2019;11;21;19;29
United Kingdom;2020;12;25;16;29
United Kingdom;2021;;;;
